datetime,hora,dia_semana,mes,es_fin_de_semana,es_agosto,es_festivo,HDD,CDD,humedad_relativa,velocidad_viento,radiacion_solar,demanda_lag_168h,prediccion_demanda_mw,modelo,fecha_corte_entrenamiento,train_dias,order,seasonal_order,meteo_futura_metodo
2026-03-23 19:00:00,19,0,3,0,0,0,7.8925085036304266,0.0,62.93210227272727,13.664602272727272,187.77079545454546,28797.846,26845.380938163507,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-23 20:00:00,20,0,3,0,0,0,8.744804860388873,0.0,69.61562500000001,11.673806818181818,57.58727272727273,30432.819,28404.420043241924,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-23 21:00:00,21,0,3,0,0,0,9.506620452761839,0.0,73.41676136363637,10.864431818181819,1.6704545454545454,29579.959,27622.06403918061,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-23 22:00:00,22,0,3,0,0,0,10.015514088972393,0.0,75.92215909090909,10.404261363636364,0.0,26848.982,25264.123469626706,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-23 23:00:00,23,0,3,0,0,0,10.460239152086096,0.0,77.38607954545455,10.286022727272726,0.0,24196.419,22838.330073315734,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-24 00:00:00,0,1,3,0,0,0,10.92936758828394,0.0,78.7850847457627,10.149887005649717,0.0,22398.955,21197.805386727603,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-24 01:00:00,1,1,3,0,0,0,11.312854107384984,0.0,79.76142045454546,10.097386363636364,0.0,21207.566,20165.310700325863,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-24 02:00:00,2,1,3,0,0,0,11.499405997274456,0.0,80.30777777777777,10.062222222222223,0.0,20317.802,19395.23287752835,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-24 03:00:00,3,1,3,0,0,0,11.70022004404824,0.0,80.69727272727272,9.887954545454546,0.0,19959.461,19083.182501996573,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-24 04:00:00,4,1,3,0,0,0,11.978191131267822,0.0,81.20823863636363,9.862045454545454,0.0,20042.331,19141.28867066455,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-24 05:00:00,5,1,3,0,0,0,12.241892683721352,0.0,81.65159090909091,9.977613636363635,0.0,20762.729,19787.876526767403,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
