corte,modelo,mape,mae,rmse
2025-04-23,Prophet,5.06,1155.0,1376.0
2025-05-23,Prophet,5.79,1136.0,1402.0
2025-06-22,Prophet,5.0,1214.0,1600.0
2025-07-22,Prophet,4.56,1257.0,1434.0
2025-08-21,Prophet,5.35,1296.0,1490.0
2025-09-20,Prophet,5.39,1213.0,1608.0
2025-10-20,Prophet,3.13,776.0,1068.0
2025-11-19,Prophet,4.67,1301.0,1665.0
2025-12-19,Prophet,6.12,1517.0,1866.0
2026-01-18,Prophet,5.7,1529.0,1793.0
2026-02-17,Prophet,5.19,1326.0,1496.0
2026-03-19,Prophet,5.78,1356.0,1659.0
