MAPE_%,MAE_MW,RMSE_MW,modelo,cutoff
9.61991477240941,1897.9512919836618,2228.2843433120834,baseline,2025-05-02 23:00:00
3.4263182194213746,837.1297800352119,1062.0890009809873,baseline,2025-06-01 23:00:00
7.51849655372437,2313.24257902912,2542.4796184925563,baseline,2025-07-01 23:00:00
6.060777639089273,1379.2611829773014,1709.5107420040556,baseline,2025-07-31 23:00:00
5.603872440046939,1278.9022871583757,1466.6528637940353,baseline,2025-08-30 23:00:00
3.142873817542208,779.6993158810023,963.9752949652285,baseline,2025-09-29 23:00:00
7.5681098728483205,1635.1698573504073,2214.7794723035063,baseline,2025-10-29 23:00:00
4.739661759461223,1234.4765258449645,1637.2785956783255,baseline,2025-11-28 23:00:00
5.758310658726629,1316.3920840290716,1584.4196242844773,baseline,2025-12-28 23:00:00
4.923469661480416,1331.6973554661104,1486.7481817326698,baseline,2026-01-27 23:00:00
8.375541392685799,1866.3648038497365,2187.6020139551906,baseline,2026-02-26 23:00:00
8.955951097193719,1761.1508239782934,2007.537982796308,clima,2025-05-02 23:00:00
2.6213751658985256,641.2026837962885,933.7567809035504,clima,2025-06-01 23:00:00
4.911106923396423,1443.8983693969801,1537.4021868426828,clima,2025-07-01 23:00:00
6.251589761881254,1415.4484804575795,1760.4452925108983,clima,2025-07-31 23:00:00
4.9097920119716605,1096.3254916142405,1300.0475203813082,clima,2025-08-30 23:00:00
2.9941956322128878,736.8336761245305,890.5469133507828,clima,2025-09-29 23:00:00
7.5113518418103045,1626.1657480976621,2283.7451535131486,clima,2025-10-29 23:00:00
5.125542616295367,1327.6821540743977,1716.9882473184975,clima,2025-11-28 23:00:00
5.486099664228683,1282.1258826183484,1552.4534866412637,clima,2025-12-28 23:00:00
4.200295342483392,1136.652649396572,1349.5134587942873,clima,2026-01-27 23:00:00
7.695354170190277,1699.543378881598,2055.150776667527,clima,2026-02-26 23:00:00
