datetime,mes,dia_semana,hora,es_festivo,HDD,CDD,humedad_relativa,velocidad_viento,radiacion_solar,prediccion_demanda_mw,modelo,fecha_corte_entrenamiento,lags,meteo_futura_metodo,demanda_lag_168h
2026-03-24 00:00:00,3,1,0,0,11.103156115694288,0.0,80.54806451612903,8.002580645161292,0.0,21939.06844349801,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,22398.955
2026-03-24 01:00:00,3,1,1,0,11.418617388028071,0.0,80.98967741935483,8.49258064516129,0.0,20853.116817858412,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,21207.566
2026-03-24 02:00:00,3,1,2,0,11.588147684154057,0.0,81.62935483870969,8.466774193548385,0.0,20085.16766854787,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,20317.802
2026-03-24 03:00:00,3,1,3,0,11.749505978295979,0.0,81.77451612903226,8.40741935483871,0.0,19598.30531520339,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,19959.461
2026-03-24 04:00:00,3,1,4,0,12.086074054345715,0.0,82.67709677419354,8.276129032258064,0.0,19532.014256454113,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,20042.331
2026-03-24 05:00:00,3,1,5,0,12.35949632465655,0.0,83.46290322580644,8.40258064516129,0.0,20274.671969586227,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,20762.729
2026-03-24 06:00:00,3,1,6,0,12.65206592823216,0.0,83.83870967741936,8.413548387096775,0.0,22438.794109900016,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,23524.222
2026-03-24 07:00:00,3,1,7,0,12.873051292019708,0.0,83.68806451612903,8.869677419354838,0.0,25007.23273835831,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,26692.801
2026-03-24 08:00:00,3,1,8,0,12.89559235457114,0.0,83.22548387096774,9.060322580645161,0.21483870967741936,26502.13526330021,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,27768.764
2026-03-24 09:00:00,3,1,9,0,12.732774384485419,0.0,82.3216129032258,9.671612903225807,30.021290322580644,26580.775926455295,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,26727.646
2026-03-24 10:00:00,3,1,10,0,11.75735072059271,0.0,78.54806451612903,8.782903225806452,149.6993548387097,25944.945672392438,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,25512.187
2026-03-24 11:00:00,3,1,11,0,10.559998974554913,0.0,71.9132258064516,8.333548387096775,299.6554838709677,25337.46331617293,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,24531.065
2026-03-24 12:00:00,3,1,12,0,9.490847592866709,0.0,64.95612903225806,9.163548387096775,445.46258064516127,25008.23407764356,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,23981.961
2026-03-24 13:00:00,3,1,13,0,8.663455404695084,0.0,61.07548387096774,9.651290322580644,542.3864516129032,24943.822044348035,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,23975.449
2026-03-24 14:00:00,3,1,14,0,8.209865719458145,0.0,59.763225806451615,10.413225806451614,603.9790322580644,24539.031974716734,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,23787.861
2026-03-24 15:00:00,3,1,15,0,7.670539926867481,0.0,58.59193548387096,10.73741935483871,580.086129032258,24304.20723613111,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,23637.685
2026-03-24 16:00:00,3,1,16,0,7.475771867742363,0.0,58.17193548387097,11.256774193548386,538.7412903225807,24191.398718737306,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,23736.628
2026-03-24 17:00:00,3,1,17,0,7.4410044166490845,0.0,58.12870967741936,11.046129032258065,459.5264516129032,24760.82276553001,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,24751.16
2026-03-24 18:00:00,3,1,18,0,7.650941359070724,0.0,59.67741935483871,10.75258064516129,334.2367741935484,25760.329059860876,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,25907.553
2026-03-24 19:00:00,3,1,19,0,8.097818601445011,0.0,63.67741935483871,9.893548387096773,196.26870967741937,27330.99894502277,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,27988.899
2026-03-24 20:00:00,3,1,20,0,8.826932914741125,0.0,70.93516129032257,8.595161290322581,62.097419354838706,28647.786016222493,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,29640.707
2026-03-24 21:00:00,3,1,21,0,9.60371601596892,0.0,74.83838709677418,8.153225806451612,2.011290322580645,28170.287835237934,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,28845.548
2026-03-24 22:00:00,3,1,22,0,10.129871545285168,0.0,77.90290322580644,7.803225806451613,0.0,26174.396895138478,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,26411.98
2026-03-24 23:00:00,3,1,23,0,10.636915159256095,0.0,79.40903225806451,7.913870967741936,0.0,23940.599433208587,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,24005.542
2026-03-25 00:00:00,3,2,0,0,11.103156115694288,0.0,80.54806451612903,8.002580645161292,0.0,22049.530828658953,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,22430.088
2026-03-25 01:00:00,3,2,1,0,11.418617388028071,0.0,80.98967741935483,8.49258064516129,0.0,20884.449537291606,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,21101.354
2026-03-25 02:00:00,3,2,2,0,11.588147684154057,0.0,81.62935483870969,8.466774193548385,0.0,20135.98224904438,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,20297.131
