MAPE_%,MAE_MW,RMSE_MW,modelo,cutoff
13.879148874181556,2722.9787073444627,3133.9884518693507,baseline,2025-04-28 23:00:00
5.2801479139434875,1229.4205629656724,1541.730155173816,baseline,2025-05-28 23:00:00
9.949015581778161,2891.07829984285,3155.9758119810713,baseline,2025-06-27 23:00:00
6.0702606769712935,1502.5414533669502,1718.2155225607887,baseline,2025-07-27 23:00:00
4.675136218125751,1113.027513466154,1358.756717834793,baseline,2025-08-26 23:00:00
3.9164453873479075,890.3376806357555,1105.4314450454651,baseline,2025-09-25 23:00:00
5.820027353145324,1293.1533850864344,1735.1700388093361,baseline,2025-10-25 23:00:00
5.074283055741311,1410.7380644032917,1857.5936841359987,baseline,2025-11-24 23:00:00
7.016125793466016,1512.0023702464405,1851.3678046356529,baseline,2025-12-24 23:00:00
5.452224319789437,1455.028717892734,1650.7118352178757,baseline,2026-01-23 23:00:00
8.924563187666683,2106.1370618723304,2450.27689617279,baseline,2026-02-22 23:00:00
12.93142876237216,2514.14770263081,2917.669413767521,clima,2025-04-28 23:00:00
4.435706395577456,1031.5323456366525,1339.585358414559,clima,2025-05-28 23:00:00
5.695515595904833,1588.101694642783,1768.374233627839,clima,2025-06-27 23:00:00
5.1869647673338335,1271.6297146353074,1519.8547832976747,clima,2025-07-27 23:00:00
4.108799559316213,957.8568081096715,1202.4682081735596,clima,2025-08-26 23:00:00
3.8013781521534487,857.0622003131592,1066.6791152664753,clima,2025-09-25 23:00:00
5.721745614974821,1264.0137228112105,1754.3933470319162,clima,2025-10-25 23:00:00
5.165309318210253,1426.5407433358987,1848.9224112907525,clima,2025-11-24 23:00:00
7.141084235177438,1560.8659830506228,1910.02112403357,clima,2025-12-24 23:00:00
4.967593788320351,1322.527215415041,1539.6048009030121,clima,2026-01-23 23:00:00
7.48869593607524,1752.2230915516072,2087.2729693841043,clima,2026-02-22 23:00:00
