MAPE_%,MAE_MW,RMSE_MW,converge,segundos,modelo,cutoff,order
7.634227838818425,1489.7211856505228,1802.4031327418438,True,21.5,sarimax baseline,2025-05-02 23:00:00,"(2, 0, 0)"
2.9206083181963978,732.8919585729059,928.23802473262,True,19.9,sarimax baseline,2025-06-01 23:00:00,"(2, 0, 0)"
11.164885479162205,3436.3805404883233,3676.63597286212,True,20.3,sarimax baseline,2025-07-01 23:00:00,"(2, 0, 0)"
5.444329572893805,1226.1238965415787,1581.8626464537867,True,16.6,sarimax baseline,2025-07-31 23:00:00,"(2, 0, 0)"
4.862055631965641,1125.7572103215514,1304.5131269759386,True,20.0,sarimax baseline,2025-08-30 23:00:00,"(2, 0, 0)"
2.956053843015359,741.9848484377334,928.4160241096687,True,21.4,sarimax baseline,2025-09-29 23:00:00,"(2, 0, 0)"
7.070802029107437,1532.717415314434,2125.2276601969215,True,21.8,sarimax baseline,2025-10-29 23:00:00,"(2, 0, 0)"
5.2239623740957395,1371.739385120709,1845.371084423119,True,20.9,sarimax baseline,2025-11-28 23:00:00,"(2, 0, 0)"
5.521627851109875,1303.8248771460999,1514.96681294821,True,21.8,sarimax baseline,2025-12-28 23:00:00,"(2, 0, 0)"
5.626949318348119,1675.8123596192906,1950.2708193887904,True,21.8,sarimax baseline,2026-01-27 23:00:00,"(2, 0, 0)"
5.711087523891975,1271.816191251207,1552.4184165783022,True,20.8,sarimax baseline,2026-02-26 23:00:00,"(2, 0, 0)"
6.959708264250929,1568.0784981248526,1808.7685296401264,True,23.5,sarimax baseline,2026-03-28 23:00:00,"(2, 0, 0)"
6.825119380952463,1335.478654461047,1577.7187541660244,True,21.3,sarimax clima,2025-05-02 23:00:00,"(2, 0, 0)"
2.6319215921556185,671.5584766883359,935.6142902285892,True,20.9,sarimax clima,2025-06-01 23:00:00,"(2, 0, 0)"
9.01058146375248,2688.636200230901,2767.050731921152,True,17.8,sarimax clima,2025-07-01 23:00:00,"(2, 0, 0)"
5.804666143702334,1297.916924510733,1650.5706396455998,True,22.6,sarimax clima,2025-07-31 23:00:00,"(2, 0, 0)"
4.029110836134244,910.7522057952655,1071.9118133821748,True,20.7,sarimax clima,2025-08-30 23:00:00,"(2, 0, 0)"
2.6381616417832316,665.2020033443816,835.1542646172715,True,19.9,sarimax clima,2025-09-29 23:00:00,"(2, 0, 0)"
7.166065835783139,1548.6047278103886,2194.3493319214604,True,23.9,sarimax clima,2025-10-29 23:00:00,"(2, 0, 0)"
5.429471457664592,1404.4320546374493,1816.2054124208507,True,19.4,sarimax clima,2025-11-28 23:00:00,"(2, 0, 0)"
5.38398324884947,1286.9550513383629,1527.932038852678,True,23.5,sarimax clima,2025-12-28 23:00:00,"(2, 0, 0)"
4.853504036403043,1447.399540856889,1760.9156468672518,True,22.4,sarimax clima,2026-01-27 23:00:00,"(2, 0, 0)"
5.744895351039473,1275.8613121326598,1569.6062345604228,True,24.3,sarimax clima,2026-02-26 23:00:00,"(2, 0, 0)"
5.019397144391425,1121.6384247730623,1340.6394706779388,True,22.0,sarimax clima,2026-03-28 23:00:00,"(2, 0, 0)"
