MAPE_%,MAE_MW,RMSE_MW,n_train,estrategia,cutoff
11.73062065855853,2382.9615059541434,2701.5370806475016,37891,expanding,2025-04-28 23:00:00
4.061952450672178,936.3430044327,1256.1752561598107,38611,expanding,2025-05-28 23:00:00
5.566752219128411,1549.6343561974372,1728.7312206466006,39331,expanding,2025-06-27 23:00:00
5.072280126049987,1242.0836818892215,1493.098131167511,40051,expanding,2025-07-27 23:00:00
4.109411077941519,958.1525279817308,1201.8881987455172,40771,expanding,2025-08-26 23:00:00
3.793757109200734,855.5296006982347,1064.7315979342907,41491,expanding,2025-09-25 23:00:00
5.756543104642142,1272.1813117444715,1768.0129986803909,42211,expanding,2025-10-25 23:00:00
5.172467865754774,1429.1668427582808,1855.9601894575853,42931,expanding,2025-11-24 23:00:00
7.137821883332298,1559.3364749024213,1907.4130325525998,43651,expanding,2025-12-24 23:00:00
4.961306456518353,1321.4594232607571,1537.92897800104,44371,expanding,2026-01-23 23:00:00
7.4841818969376765,1751.3919368419336,2086.1352359987845,45091,expanding,2026-02-22 23:00:00
6.15088406550676,1230.066582603195,1511.736120997469,8759,rolling 365d,2025-04-28 23:00:00
6.3322095302993375,1532.7456139817953,1760.6233003586262,8759,rolling 365d,2025-05-28 23:00:00
4.913020630950806,1396.748096379439,1571.05238435034,8759,rolling 365d,2025-06-27 23:00:00
5.221476633814069,1297.1003838098154,1515.1959907364187,8759,rolling 365d,2025-07-27 23:00:00
5.703226659846627,1414.5176876422029,1623.7842745748217,8759,rolling 365d,2025-08-26 23:00:00
3.906608452913382,856.6552404388345,1057.8427729674486,8759,rolling 365d,2025-09-25 23:00:00
6.018163186056976,1283.4885533091847,1583.2398191724565,8759,rolling 365d,2025-10-25 23:00:00
5.413456261497722,1321.5042226553796,1532.3809007868701,8759,rolling 365d,2025-11-24 23:00:00
11.853038814342314,2610.3177147524425,3059.6238156377476,8759,rolling 365d,2025-12-24 23:00:00
6.302086454286784,1626.1385195948076,1873.7737485081927,8759,rolling 365d,2026-01-23 23:00:00
6.900066620885934,1642.0637246549118,1888.1573679500257,8759,rolling 365d,2026-02-22 23:00:00
6.974978105818624,1385.9254232906007,1697.0850462936112,17518,rolling 730d,2025-04-28 23:00:00
5.061824496038486,1210.2460567834069,1451.6968455392234,17518,rolling 730d,2025-05-28 23:00:00
4.7054775489325396,1339.7518458543764,1501.5446486459862,17518,rolling 730d,2025-06-27 23:00:00
4.742776702240933,1179.0416084523606,1406.0431044261954,17518,rolling 730d,2025-07-27 23:00:00
4.5087057275625835,1107.1536120436012,1310.1613965177596,17518,rolling 730d,2025-08-26 23:00:00
3.1586562866586663,705.1528933131992,913.4481506977104,17518,rolling 730d,2025-09-25 23:00:00
5.642456405383445,1258.1713386076565,1733.964171327723,17518,rolling 730d,2025-10-25 23:00:00
4.270245610327482,1137.752612250294,1421.4329799676507,17518,rolling 730d,2025-11-24 23:00:00
10.246574492362452,2230.0037918569506,2702.074851183779,17518,rolling 730d,2025-12-24 23:00:00
6.892113355728177,1762.8130679547858,2019.611427196552,17518,rolling 730d,2026-01-23 23:00:00
10.356907995303365,2478.4685080164127,2756.741953556897,17518,rolling 730d,2026-02-22 23:00:00
