corte,modelo,mape,mae,rmse
2025-04-23,SARIMAX armónico,1.9808458661684063,464.9889096588296,612.0102429349677
2025-04-23,SARIMAX armónico + lag 168h,5.6186541337836875,1328.5876315220978,1634.6990278075666
2025-04-23,SARIMAX clásico + lag 168h,9.424654452198089,2244.132678015908,2844.125565020209
2025-05-23,SARIMAX armónico,4.456180202968066,893.6807682511198,1145.9418615973896
2025-05-23,SARIMAX armónico + lag 168h,2.9361916703337916,599.0159668954662,756.2576457559242
2025-05-23,SARIMAX clásico + lag 168h,1.3270730270100934,290.5877071209057,436.11590754213006
2025-06-22,SARIMAX armónico,3.987763033972643,1017.8965472272362,1217.4812173753667
2025-06-22,SARIMAX armónico + lag 168h,3.1058239650275716,817.5565354629148,1006.9201029328577
2025-06-22,SARIMAX clásico + lag 168h,3.255917147442275,845.2647655693405,1099.4419419235924
2025-07-22,SARIMAX armónico,3.476016440177379,959.5844335208308,1234.8583882933833
2025-07-22,SARIMAX armónico + lag 168h,3.888236821791069,1076.5110960697598,1426.2727328564533
2025-07-22,SARIMAX clásico + lag 168h,3.1502169022060897,870.4665466640377,1160.6622683113528
2025-08-21,SARIMAX armónico,3.5517991375454305,850.5754849420597,1085.5088943221956
2025-08-21,SARIMAX armónico + lag 168h,3.848918778133892,940.1388180501908,1156.8449260802176
2025-08-21,SARIMAX clásico + lag 168h,6.770258973752777,1634.8326820300765,2172.4127876502653
2025-09-20,SARIMAX armónico,5.436902417871461,1223.8761744011117,1578.7094993871729
2025-09-20,SARIMAX armónico + lag 168h,4.8107353146089205,1104.965477296639,1286.4796185899343
2025-09-20,SARIMAX clásico + lag 168h,5.871137953172134,1378.0446384113789,1977.768977466739
2025-10-20,SARIMAX armónico,2.83325944801434,697.1251001480802,906.1768673512399
2025-10-20,SARIMAX armónico + lag 168h,2.1969948364367737,535.263306132713,656.2191167478558
2025-10-20,SARIMAX clásico + lag 168h,2.268611762949846,560.7852327351336,652.099666827647
2025-11-19,SARIMAX armónico,5.184766874930117,1484.6343944127182,1883.6458296484952
2025-11-19,SARIMAX armónico + lag 168h,4.327246951901708,1234.2205534288469,1553.934128258027
2025-11-19,SARIMAX clásico + lag 168h,3.7818901620470933,1075.1274482366714,1343.5894505058125
2025-12-19,SARIMAX armónico,4.849671513804173,1197.0272820221553,1451.7854881056394
2025-12-19,SARIMAX armónico + lag 168h,2.845002602535314,682.7554658037532,859.9258288450645
2025-12-19,SARIMAX clásico + lag 168h,2.5731306143669714,601.7258516940498,703.3700801701093
2026-01-18,SARIMAX armónico,6.521703101794498,1938.3728928983587,2425.3191070094713
2026-01-18,SARIMAX armónico + lag 168h,3.895596954733372,1138.6099600822333,1402.4965595926567
2026-01-18,SARIMAX clásico + lag 168h,3.599814146762264,1083.419803241532,1317.1964190142892
2026-02-17,SARIMAX armónico,4.534910971445853,1142.472535336277,1313.1572808468682
2026-02-17,SARIMAX armónico + lag 168h,3.1218804624310663,809.4303481938465,1012.2187150805368
2026-02-17,SARIMAX clásico + lag 168h,2.7838687827349875,763.3634116771852,1017.2964542876756
2026-03-19,SARIMAX armónico,3.8440904873782626,898.498041003409,1170.4495909864313
2026-03-19,SARIMAX armónico + lag 168h,3.193212402135522,758.7016769286122,927.7150396285239
2026-03-19,SARIMAX clásico + lag 168h,2.6809413426670687,665.0563060089003,917.2277212303305
