fecha,t_nac_media,t_nac_max,t_nac_min,sensacion_nac,ciudades_usadas,HDD,CDD,año,mes,fuente
2021-01-01,3.819409233880104,5.8512051941981715,2.272445457774068,2.606283200376865,3,14.180590766119895,0.0,2021,1,Open-Meteo (ERA5) + INE Padrón
2021-01-02,2.5605558172673293,5.121059464358644,0.47523191910259494,2.1989056889482104,3,15.439444182732672,0.0,2021,1,Open-Meteo (ERA5) + INE Padrón
2021-01-03,2.662795915092436,6.345269083322371,0.06060022791881514,3.2396172166861,3,15.337204084907563,0.0,2021,1,Open-Meteo (ERA5) + INE Padrón
2021-01-04,2.296372192710776,5.6049787508405196,0.46741934054601797,2.3895463765890095,3,15.703627807289223,0.0,2021,1,Open-Meteo (ERA5) + INE Padrón
2021-01-05,1.2125776210721138,4.828885639301028,-1.43448675910602,2.508146714472684,3,16.787422378927886,0.0,2021,1,Open-Meteo (ERA5) + INE Padrón
2021-01-06,1.0928183017798467,5.169419162857498,-1.61161748321888,2.948888603072083,3,16.907181698220153,0.0,2021,1,Open-Meteo (ERA5) + INE Padrón
2021-01-07,1.7549730861580413,3.4094134683306945,0.629867058453784,0.9470864535001312,3,16.245026913841958,0.0,2021,1,Open-Meteo (ERA5) + INE Padrón
2021-01-08,1.4185170894344892,2.7224451363736435,0.12597291925939247,-0.16791511791837194,3,16.581482910565512,0.0,2021,1,Open-Meteo (ERA5) + INE Padrón
2021-01-09,1.6384044810565443,2.4719091437731997,0.8060587997484813,0.22701388931933586,3,16.361595518943457,0.0,2021,1,Open-Meteo (ERA5) + INE Padrón
2021-01-10,2.307867652814997,4.267717617357643,0.4438502726279099,2.050664001798006,3,15.692132347185003,0.0,2021,1,Open-Meteo (ERA5) + INE Padrón
2021-01-11,1.7150406100914684,5.004791150560718,-0.6360466244116937,2.277067322139875,3,16.284959389908533,0.0,2021,1,Open-Meteo (ERA5) + INE Padrón
2021-01-12,0.3411300312653742,4.904294518033663,-2.2406961579104565,2.6482072628690454,3,17.658869968734624,0.0,2021,1,Open-Meteo (ERA5) + INE Padrón
2021-01-13,1.0039114833387168,6.17008776182943,-1.9944837758213674,4.025893039775369,3,16.996088516661285,0.0,2021,1,Open-Meteo (ERA5) + INE Padrón
2021-01-14,0.6712045996073864,6.094965113131801,-3.586072198702598,4.021557405444569,3,17.328795400392615,0.0,2021,1,Open-Meteo (ERA5) + INE Padrón
2021-01-15,2.2083381256432313,7.003400548492781,-1.2433960879140358,5.156968621217433,3,15.79166187435677,0.0,2021,1,Open-Meteo (ERA5) + INE Padrón
2021-01-16,2.1183004483306345,7.316816622921774,-1.0708872281669821,5.169691331623942,3,15.881699551669366,0.0,2021,1,Open-Meteo (ERA5) + INE Padrón
2021-01-17,2.3079459080790197,8.129377290121505,-2.342872061740103,6.074593577684893,3,15.69205409192098,0.0,2021,1,Open-Meteo (ERA5) + INE Padrón
2021-01-18,2.6584180969559474,7.2498329291723005,-0.9406850523779384,5.605291065963534,3,15.341581903044052,0.0,2021,1,Open-Meteo (ERA5) + INE Padrón
2021-01-19,1.7919609317122813,6.323904357432166,-1.467767675473727,4.489442828259453,3,16.208039068287718,0.0,2021,1,Open-Meteo (ERA5) + INE Padrón
2021-01-20,3.333650090669355,6.158131424995357,-0.02188501578420421,4.107411178123099,3,14.666349909330645,0.0,2021,1,Open-Meteo (ERA5) + INE Padrón
2021-01-21,6.635124945562803,9.285898292376588,4.474311875952292,6.567174146458041,3,11.364875054437196,0.0,2021,1,Open-Meteo (ERA5) + INE Padrón
2021-01-22,6.8984759651023415,8.781323277861915,4.082800399776213,5.3514720426397355,3,11.101524034897658,0.0,2021,1,Open-Meteo (ERA5) + INE Padrón
2021-01-23,5.570867266904917,8.301467456944396,3.2716568214829556,5.183653316152185,3,12.429132733095084,0.0,2021,1,Open-Meteo (ERA5) + INE Padrón
2021-01-24,7.637361232497164,9.522240278038915,5.729428203392289,6.693981708183567,3,10.362638767502837,0.0,2021,1,Open-Meteo (ERA5) + INE Padrón
2021-01-25,7.817982962104365,10.198737630962064,5.711090438176677,8.073126757802052,3,10.182017037895635,0.0,2021,1,Open-Meteo (ERA5) + INE Padrón
2021-01-26,7.69849784902766,10.347021501917958,5.387030775468056,9.235671521420075,3,10.30150215097234,0.0,2021,1,Open-Meteo (ERA5) + INE Padrón
2021-01-27,9.183288503713438,13.18386584218275,6.958682454544223,12.538875780343012,3,8.816711496286562,0.0,2021,1,Open-Meteo (ERA5) + INE Padrón
2021-01-28,8.955411849390842,12.187708654877241,6.693844039755396,11.521396050952987,3,9.044588150609158,0.0,2021,1,Open-Meteo (ERA5) + INE Padrón
2021-01-29,8.962637906608842,12.35366143954791,6.539699030311962,11.018678122525648,3,9.037362093391158,0.0,2021,1,Open-Meteo (ERA5) + INE Padrón
2021-01-30,8.367999129693565,10.339044263036861,6.547253501370658,7.482523323914005,3,9.632000870306435,0.0,2021,1,Open-Meteo (ERA5) + INE Padrón
2021-01-31,7.901831087088725,11.073253458440744,5.409209970208476,8.068150394507542,3,10.098168912911275,0.0,2021,1,Open-Meteo (ERA5) + INE Padrón
2021-02-01,9.008052974595362,12.205639750988135,6.775946661992586,9.354081113891226,3,8.991947025404638,0.0,2021,2,Open-Meteo (ERA5) + INE Padrón
2021-02-02,8.352265557330146,10.94363576654116,6.310665432029895,9.167910560919498,3,9.647734442669854,0.0,2021,2,Open-Meteo (ERA5) + INE Padrón
2021-02-03,8.199553735510866,10.876557718809984,6.123856187543575,9.635469607342806,3,9.800446264489134,0.0,2021,2,Open-Meteo (ERA5) + INE Padrón
2021-02-04,7.6655312852320865,10.161042824999534,5.643141676521033,9.10581091393195,3,10.334468714767914,0.0,2021,2,Open-Meteo (ERA5) + INE Padrón
